Object	Object type	Relation source	Relation source type	Relation target	Relation target type
dual specificity phosphatase 22 [Homo sapiens] interacts with mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	dual specificity phosphatase 22 [Homo sapiens]	Protein	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Protein
phosphatase and tensin homolog [Homo sapiens] interacts with microtubule associated serine/threonine kinase 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphatase and tensin homolog [Homo sapiens]	Protein	microtubule associated serine/threonine kinase 3 [Homo sapiens]	Protein
protein kinase N1 isoform 2 [Homo sapiens] interacts with mitogen-activated protein kinase 12 [Homo sapiens]	Helper_PPI (good experimental evidence)	protein kinase N1 isoform 2 [Homo sapiens]	Protein	mitogen-activated protein kinase 12 [Homo sapiens]	Protein
retinoblastoma 1 [Homo sapiens] interacts with retinoblastoma binding protein 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	retinoblastoma 1 [Homo sapiens]	Protein	retinoblastoma binding protein 2 [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with karyopherin beta 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	karyopherin beta 1 [Homo sapiens]	Protein
Friend leukemia virus integration 1 [Homo sapiens] interacts with serum response factor (c-fos serum response element-binding transcription factor) [Homo sapiens]	Helper_PPI (good experimental evidence)	Friend leukemia virus integration 1 [Homo sapiens]	Protein	serum response factor (c-fos serum response element-binding transcription factor) [Homo sapiens]	Protein
TNF receptor-associated factor 2 [Homo sapiens] interacts with zinc finger protein 46 (KUP) [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 2 [Homo sapiens]	Protein	zinc finger protein 46 (KUP) [Homo sapiens]	Protein
calnexin precursor [Homo sapiens] interacts with downregulated in renal cell carcinoma [Homo sapiens]	Helper_PPI (Two-hybrid)	calnexin precursor [Homo sapiens]	Protein	downregulated in renal cell carcinoma [Homo sapiens]	Protein
syntenin isoform 1 [Homo sapiens] interacts with syndecan binding protein 2 isoform b [Homo sapiens]	Helper_PPI (Two-hybrid)	syntenin isoform 1 [Homo sapiens]	Protein	syndecan binding protein 2 isoform b [Homo sapiens]	Protein
Ras-like without CAAX 1 [Homo sapiens] interacts with adaptor-related protein complex 2, alpha 1 subunit isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	Ras-like without CAAX 1 [Homo sapiens]	Protein	adaptor-related protein complex 2, alpha 1 subunit isoform 1 [Homo sapiens]	Protein
fibronectin 1 isoform 3 preproprotein [Homo sapiens] interacts with cathepsin D preproprotein [Homo sapiens]	Helper_PPI (good experimental evidence)	fibronectin 1 isoform 3 preproprotein [Homo sapiens]	Protein	cathepsin D preproprotein [Homo sapiens]	Protein
uncoupling protein 2 [Homo sapiens] interacts with tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	uncoupling protein 2 [Homo sapiens]	Protein	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein
RAS p21 protein activator 1 isoform 1 [Homo sapiens] interacts with ephrin receptor EphB2 isoform 2 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	RAS p21 protein activator 1 isoform 1 [Homo sapiens]	Protein	ephrin receptor EphB2 isoform 2 precursor [Homo sapiens]	Protein
immunoglobulin heavy constant gamma 1 (G1m marker) [Homo sapiens] interacts with prostate specific antigen isoform 3 preproprotein [Homo sapiens]	Helper_PPI (good experimental evidence)	immunoglobulin heavy constant gamma 1 (G1m marker) [Homo sapiens]	Protein	prostate specific antigen isoform 3 preproprotein [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with vav 1 oncogene [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	vav 1 oncogene [Homo sapiens]	Protein
activin A type I receptor precursor [Homo sapiens] interacts with transforming growth factor, beta receptor I precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	activin A type I receptor precursor [Homo sapiens]	Protein	transforming growth factor, beta receptor I precursor [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens] interacts with death-associated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein	death-associated protein kinase 1 [Homo sapiens]	Protein
villin 2 [Homo sapiens] interacts with solute carrier family 9 isoform 3 regulator 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	villin 2 [Homo sapiens]	Protein	solute carrier family 9 isoform 3 regulator 2 [Homo sapiens]	Protein
interferon alpha/beta receptor 2 isoform b precursor [Homo sapiens] interacts with signal transducer and activator of transcription 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	interferon alpha/beta receptor 2 isoform b precursor [Homo sapiens]	Protein	signal transducer and activator of transcription 2 [Homo sapiens]	Protein
resistance to inhibitors of cholinesterase 8 homolog A [Homo sapiens] interacts with ubiquilin 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	resistance to inhibitors of cholinesterase 8 homolog A [Homo sapiens]	Protein	ubiquilin 2 [Homo sapiens]	Protein
diablo isoform 1 precursor [Homo sapiens] interacts with baculoviral IAP repeat-containing protein 4 [Homo sapiens]	Helper_PPI (good experimental evidence)	diablo isoform 1 precursor [Homo sapiens]	Protein	baculoviral IAP repeat-containing protein 4 [Homo sapiens]	Protein
chemokine (C-C motif) receptor 5 [Homo sapiens] interacts with peptidylprolyl isomerase A-like [Homo sapiens]	Helper_PPI (good experimental evidence)	chemokine (C-C motif) receptor 5 [Homo sapiens]	Protein	peptidylprolyl isomerase A-like [Homo sapiens]	Protein
v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog precursor [Homo sapiens] interacts with suppressor of cytokine signaling 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog precursor [Homo sapiens]	Protein	suppressor of cytokine signaling 1 [Homo sapiens]	Protein
tissue inhibitor of metalloproteinase 2 precursor [Homo sapiens] interacts with integrin alpha 3 isoform a precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	tissue inhibitor of metalloproteinase 2 precursor [Homo sapiens]	Protein	integrin alpha 3 isoform a precursor [Homo sapiens]	Protein
dual specificity phosphatase 2 [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	dual specificity phosphatase 2 [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
sorbin and SH3 domain containing 2 isoform 1 [Homo sapiens] interacts with discs large homolog-associated protein 1 isoform beta [Homo sapiens]	Helper_PPI (good experimental evidence)	sorbin and SH3 domain containing 2 isoform 1 [Homo sapiens]	Protein	discs large homolog-associated protein 1 isoform beta [Homo sapiens]	Protein
L1 cell adhesion molecule isoform 1 precursor [Homo sapiens] interacts with numb homolog isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	L1 cell adhesion molecule isoform 1 precursor [Homo sapiens]	Protein	numb homolog isoform 1 [Homo sapiens]	Protein
protein tyrosine phosphatase, non-receptor type 1 [Homo sapiens] interacts with tyrosine kinase 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	protein tyrosine phosphatase, non-receptor type 1 [Homo sapiens]	Protein	tyrosine kinase 2 [Homo sapiens]	Protein
amyloid beta A4 precursor protein-binding, family B, member 2 [Homo sapiens] interacts with amyloid beta A4 protein precursor, isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	amyloid beta A4 precursor protein-binding, family B, member 2 [Homo sapiens]	Protein	amyloid beta A4 protein precursor, isoform a [Homo sapiens]	Protein
amyloid beta A4 protein precursor, isoform a [Homo sapiens] interacts with SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Helper_PPI (good experimental evidence)	amyloid beta A4 protein precursor, isoform a [Homo sapiens]	Protein	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Protein
matrix metalloproteinase 9 preproprotein [Homo sapiens] interacts with fibronectin 1 isoform 3 preproprotein [Homo sapiens]	Helper_PPI (good experimental evidence)	matrix metalloproteinase 9 preproprotein [Homo sapiens]	Protein	fibronectin 1 isoform 3 preproprotein [Homo sapiens]	Protein
immunoglobulin heavy constant gamma 1 (G1m marker) [Homo sapiens] interacts with fibronectin 1 isoform 3 preproprotein [Homo sapiens]	Helper_PPI (good experimental evidence)	immunoglobulin heavy constant gamma 1 (G1m marker) [Homo sapiens]	Protein	fibronectin 1 isoform 3 preproprotein [Homo sapiens]	Protein
protein kinase C, delta [Homo sapiens] interacts with phosphoinositide-3-kinase, catalytic, alpha polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	protein kinase C, delta [Homo sapiens]	Protein	phosphoinositide-3-kinase, catalytic, alpha polypeptide [Homo sapiens]	Protein
von Willebrand factor preproprotein [Homo sapiens] interacts with calreticulin precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	von Willebrand factor preproprotein [Homo sapiens]	Protein	calreticulin precursor [Homo sapiens]	Protein
guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1 [Homo sapiens] interacts with guanine nucleotide-binding protein, beta-5 subunit isoform a [Homo sapiens]	Helper_PPI (Two-hybrid)	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1 [Homo sapiens]	Protein	guanine nucleotide-binding protein, beta-5 subunit isoform a [Homo sapiens]	Protein
ras-related nuclear protein [Homo sapiens] interacts with CSE1 chromosome segregation 1-like protein [Homo sapiens]	Helper_PPI (good experimental evidence)	ras-related nuclear protein [Homo sapiens]	Protein	CSE1 chromosome segregation 1-like protein [Homo sapiens]	Protein
beta chimerin isoform 1 [Homo sapiens] interacts with HLA-B associated transcript-3 isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	beta chimerin isoform 1 [Homo sapiens]	Protein	HLA-B associated transcript-3 isoform a [Homo sapiens]	Protein
mitogen-activated protein kinase 9 isoform 1 [Homo sapiens] interacts with zinc finger protein 46 (KUP) [Homo sapiens]	Helper_PPI (Two-hybrid)	mitogen-activated protein kinase 9 isoform 1 [Homo sapiens]	Protein	zinc finger protein 46 (KUP) [Homo sapiens]	Protein
MEGF10 protein [Homo sapiens] interacts with intersectin 2 isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	MEGF10 protein [Homo sapiens]	Protein	intersectin 2 isoform 1 [Homo sapiens]	Protein
chemokine (C-C motif) receptor 2 isoform A [Homo sapiens] interacts with small inducible cytokine A2 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	chemokine (C-C motif) receptor 2 isoform A [Homo sapiens]	Protein	small inducible cytokine A2 precursor [Homo sapiens]	Protein
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens] interacts with hemopoietic cell kinase isoform p61HCK [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein	hemopoietic cell kinase isoform p61HCK [Homo sapiens]	Protein
transferrin receptor [Homo sapiens] interacts with transferrin [Homo sapiens]	Helper_PPI (good experimental evidence)	transferrin receptor [Homo sapiens]	Protein	transferrin [Homo sapiens]	Protein
basigin isoform 1 [Homo sapiens] interacts with LIM and senescent cell antigen-like domains 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	basigin isoform 1 [Homo sapiens]	Protein	LIM and senescent cell antigen-like domains 1 [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens] interacts with sorbin and SH3 domain containing 2 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	Protein	sorbin and SH3 domain containing 2 isoform 1 [Homo sapiens]	Protein
ribosomal protein S17 [Homo sapiens] interacts with eukaryotic translation initiation factor 4E [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S17 [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E [Homo sapiens]	Protein
phosphoprotein enriched in astrocytes 15 [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphoprotein enriched in astrocytes 15 [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
GTP-binding mitogen-induced T-cell protein [Homo sapiens] interacts with LIM and senescent cell antigen-like domains 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	GTP-binding mitogen-induced T-cell protein [Homo sapiens]	Protein	LIM and senescent cell antigen-like domains 1 [Homo sapiens]	Protein
zinc finger, FYVE domain containing 9 isoform 3 [Homo sapiens] interacts with spartin [Homo sapiens]	Helper_PPI (Two-hybrid)	zinc finger, FYVE domain containing 9 isoform 3 [Homo sapiens]	Protein	spartin [Homo sapiens]	Protein
ubiquitin-conjugating enzyme E2L 6 isoform 2 [Homo sapiens] interacts with ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	ubiquitin-conjugating enzyme E2L 6 isoform 2 [Homo sapiens]	Protein	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens] interacts with FK506 binding protein 12-rapamycin associated protein 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	Protein	FK506 binding protein 12-rapamycin associated protein 1 [Homo sapiens]	Protein
transcriptional intermediary factor 1 alpha isoform b [Homo sapiens] interacts with nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Helper_PPI (good experimental evidence)	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Protein	nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Protein
transforming growth factor, beta receptor III (betaglycan, 300kDa) [Homo sapiens] interacts with transforming growth factor, beta receptor I precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	transforming growth factor, beta receptor III (betaglycan, 300kDa) [Homo sapiens]	Protein	transforming growth factor, beta receptor I precursor [Homo sapiens]	Protein
von Hippel-Lindau tumor suppressor isoform 1 [Homo sapiens] interacts with FK506-binding protein 1A [Homo sapiens]	Helper_PPI (good experimental evidence)	von Hippel-Lindau tumor suppressor isoform 1 [Homo sapiens]	Protein	FK506-binding protein 1A [Homo sapiens]	Protein
karyopherin beta 1 [Homo sapiens] interacts with nucleoporin 155kDa isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	karyopherin beta 1 [Homo sapiens]	Protein	nucleoporin 155kDa isoform 2 [Homo sapiens]	Protein
bone morphogenetic protein receptor, type IB [Homo sapiens] interacts with ras-related nuclear protein [Homo sapiens]	Helper_PPI (good experimental evidence)	bone morphogenetic protein receptor, type IB [Homo sapiens]	Protein	ras-related nuclear protein [Homo sapiens]	Protein
protein kinase C, gamma [Homo sapiens] interacts with StAR-binding protein [Homo sapiens]	Helper_PPI (Two-hybrid)	protein kinase C, gamma [Homo sapiens]	Protein	StAR-binding protein [Homo sapiens]	Protein
proline-, glutamic acid-, leucine-rich protein 1 [Homo sapiens] interacts with retinoblastoma 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	proline-, glutamic acid-, leucine-rich protein 1 [Homo sapiens]	Protein	retinoblastoma 1 [Homo sapiens]	Protein
synaptosomal-associated protein 29 [Homo sapiens] interacts with insulin-like growth factor 1 receptor precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	synaptosomal-associated protein 29 [Homo sapiens]	Protein	insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein
IQ motif containing GTPase activating protein 2 [Homo sapiens] interacts with ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]	Helper_PPI (good experimental evidence)	IQ motif containing GTPase activating protein 2 [Homo sapiens]	Protein	ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]	Protein
notch1 preproprotein [Homo sapiens] interacts with phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	notch1 preproprotein [Homo sapiens]	Protein	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Protein
kinase insert domain receptor (a type III receptor tyrosine kinase) [Homo sapiens] interacts with myotrophin [Homo sapiens]	Helper_PPI (good experimental evidence)	kinase insert domain receptor (a type III receptor tyrosine kinase) [Homo sapiens]	Protein	myotrophin [Homo sapiens]	Protein
eukaryotic translation initiation factor 1B [Homo sapiens] interacts with calreticulin precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	eukaryotic translation initiation factor 1B [Homo sapiens]	Protein	calreticulin precursor [Homo sapiens]	Protein
eukaryotic translation initiation factor 4 gamma, 1 isoform 4 [Homo sapiens] interacts with eukaryotic translation initiation factor 4E [Homo sapiens]	Helper_PPI (good experimental evidence)	eukaryotic translation initiation factor 4 gamma, 1 isoform 4 [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E [Homo sapiens]	Protein
ubiquitin associated domain containing 1 [Homo sapiens] interacts with IQ motif containing GTPase activating protein 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	ubiquitin associated domain containing 1 [Homo sapiens]	Protein	IQ motif containing GTPase activating protein 2 [Homo sapiens]	Protein
karyopherin beta 1 [Homo sapiens] interacts with midkine [Homo sapiens]	Helper_PPI (Two-hybrid)	karyopherin beta 1 [Homo sapiens]	Protein	midkine [Homo sapiens]	Protein
v-erb-a erythroblastic leukemia viral oncogene homolog 4 [Homo sapiens] interacts with synapse-associated protein 97 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-erb-a erythroblastic leukemia viral oncogene homolog 4 [Homo sapiens]	Protein	synapse-associated protein 97 [Homo sapiens]	Protein
baculoviral IAP repeat-containing protein 3 [Homo sapiens] interacts with diablo isoform 1 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	baculoviral IAP repeat-containing protein 3 [Homo sapiens]	Protein	diablo isoform 1 precursor [Homo sapiens]	Protein
integrin-linked kinase [Homo sapiens] interacts with exportin 7 [Homo sapiens]	Helper_PPI (good experimental evidence)	integrin-linked kinase [Homo sapiens]	Protein	exportin 7 [Homo sapiens]	Protein
MAP/microtubule affinity-regulating kinase 4 [Homo sapiens] interacts with tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	MAP/microtubule affinity-regulating kinase 4 [Homo sapiens]	Protein	tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	Protein
nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens] interacts with suppressor of S. cerevisiae gcr2 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Protein	suppressor of S. cerevisiae gcr2 [Homo sapiens]	Protein
transportin 1 [Homo sapiens] interacts with phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	transportin 1 [Homo sapiens]	Protein	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Protein
activin A type I receptor precursor [Homo sapiens] interacts with FLJ33790 [Homo sapiens]	Helper_PPI (good experimental evidence)	activin A type I receptor precursor [Homo sapiens]	Protein	FLJ33790 [Homo sapiens]	Protein
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 isoform b [Homo sapiens] interacts with nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Helper_PPI (good experimental evidence)	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 isoform b [Homo sapiens]	Protein	nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Protein
intercellular adhesion molecule 1 precursor [Homo sapiens] interacts with moesin [Homo sapiens]	Helper_PPI (good experimental evidence)	intercellular adhesion molecule 1 precursor [Homo sapiens]	Protein	moesin [Homo sapiens]	Protein
homeobox B1 [Homo sapiens] interacts with phospholipid scramblase 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	homeobox B1 [Homo sapiens]	Protein	phospholipid scramblase 1 [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with erythropoietin receptor precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	erythropoietin receptor precursor [Homo sapiens]	Protein
platelet glycoprotein Ib alpha polypeptide precursor [Homo sapiens] interacts with coagulation factor II precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	platelet glycoprotein Ib alpha polypeptide precursor [Homo sapiens]	Protein	coagulation factor II precursor [Homo sapiens]	Protein
activin A type I receptor precursor [Homo sapiens] interacts with ubiquitin-conjugating enzyme E2E 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	activin A type I receptor precursor [Homo sapiens]	Protein	ubiquitin-conjugating enzyme E2E 3 [Homo sapiens]	Protein
smooth muscle myosin heavy chain 11 isoform SM2B [Homo sapiens] interacts with mitogen-activated protein kinase-activated protein kinase 5 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	smooth muscle myosin heavy chain 11 isoform SM2B [Homo sapiens]	Protein	mitogen-activated protein kinase-activated protein kinase 5 isoform 1 [Homo sapiens]	Protein
atrophin 1 [Homo sapiens] interacts with myelin basic protein isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	atrophin 1 [Homo sapiens]	Protein	myelin basic protein isoform 1 [Homo sapiens]	Protein
interleukin 4 receptor alpha chain isoform a precursor [Homo sapiens] interacts with interleukin 13 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	interleukin 4 receptor alpha chain isoform a precursor [Homo sapiens]	Protein	interleukin 13 precursor [Homo sapiens]	Protein
pinin, desmosome associated protein [Homo sapiens] interacts with vesicle-associated membrane protein 8 [Homo sapiens]	Helper_PPI (Two-hybrid)	pinin, desmosome associated protein [Homo sapiens]	Protein	vesicle-associated membrane protein 8 [Homo sapiens]	Protein
retinoid X receptor, alpha [Homo sapiens] interacts with nuclear factor kappa-B, subunit 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	retinoid X receptor, alpha [Homo sapiens]	Protein	nuclear factor kappa-B, subunit 1 [Homo sapiens]	Protein
hypothetical protein LOC57473 [Homo sapiens] interacts with TNF receptor-associated factor 4 isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	hypothetical protein LOC57473 [Homo sapiens]	Protein	TNF receptor-associated factor 4 isoform 1 [Homo sapiens]	Protein
ubiquilin 1 isoform 1 [Homo sapiens] interacts with kelch domain containing 5 [Homo sapiens]	Helper_PPI (Two-hybrid)	ubiquilin 1 isoform 1 [Homo sapiens]	Protein	kelch domain containing 5 [Homo sapiens]	Protein
PYD and CARD domain containing isoform a [Homo sapiens] interacts with serum response factor (c-fos serum response element-binding transcription factor) [Homo sapiens]	Helper_PPI (good experimental evidence)	PYD and CARD domain containing isoform a [Homo sapiens]	Protein	serum response factor (c-fos serum response element-binding transcription factor) [Homo sapiens]	Protein
immunoglobulin heavy constant gamma 1 (G1m marker) [Homo sapiens] interacts with keratin 9 [Homo sapiens]	Helper_PPI (good experimental evidence)	immunoglobulin heavy constant gamma 1 (G1m marker) [Homo sapiens]	Protein	keratin 9 [Homo sapiens]	Protein
chondroitin sulfate proteoglycan 2 (versican) [Homo sapiens] interacts with small inducible cytokine A2 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	chondroitin sulfate proteoglycan 2 (versican) [Homo sapiens]	Protein	small inducible cytokine A2 precursor [Homo sapiens]	Protein
synaptosomal-associated protein 29 [Homo sapiens] interacts with syntaxin 7 [Homo sapiens]	Helper_PPI (good experimental evidence)	synaptosomal-associated protein 29 [Homo sapiens]	Protein	syntaxin 7 [Homo sapiens]	Protein
solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4 [Homo sapiens] interacts with nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Helper_PPI (good experimental evidence)	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4 [Homo sapiens]	Protein	nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Protein
baculoviral IAP repeat-containing protein 4 [Homo sapiens] interacts with diablo isoform 1 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	baculoviral IAP repeat-containing protein 4 [Homo sapiens]	Protein	diablo isoform 1 precursor [Homo sapiens]	Protein
HLA-B associated transcript-3 isoform a [Homo sapiens] interacts with PRP40 pre-mRNA processing factor 40 homolog A (yeast) [Homo sapiens]	Helper_PPI (good experimental evidence)	HLA-B associated transcript-3 isoform a [Homo sapiens]	Protein	PRP40 pre-mRNA processing factor 40 homolog A (yeast) [Homo sapiens]	Protein
sodium channel, nonvoltage-gated 1 alpha [Homo sapiens] interacts with ubiquitin-conjugating enzyme E2I [Homo sapiens]	Helper_PPI (good experimental evidence)	sodium channel, nonvoltage-gated 1 alpha [Homo sapiens]	Protein	ubiquitin-conjugating enzyme E2I [Homo sapiens]	Protein
ribosomal protein S25 [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S25 [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta) [Homo sapiens] interacts with insulin receptor substrate 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta) [Homo sapiens]	Protein	insulin receptor substrate 1 [Homo sapiens]	Protein
ELK1 protein [Homo sapiens] interacts with v-fos FBJ murine osteosarcoma viral oncogene homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	ELK1 protein [Homo sapiens]	Protein	v-fos FBJ murine osteosarcoma viral oncogene homolog [Homo sapiens]	Protein
c-src tyrosine kinase [Homo sapiens] interacts with protein tyrosine phosphatase, non-receptor type 12 [Homo sapiens]	Helper_PPI (good experimental evidence)	c-src tyrosine kinase [Homo sapiens]	Protein	protein tyrosine phosphatase, non-receptor type 12 [Homo sapiens]	Protein
regulator of G-protein signalling 12 isoform 2 [Homo sapiens] interacts with guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	regulator of G-protein signalling 12 isoform 2 [Homo sapiens]	Protein	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 [Homo sapiens]	Protein
v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens] interacts with phospholipid scramblase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Protein	phospholipid scramblase 1 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with inosine monophosphate dehydrogenase 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	inosine monophosphate dehydrogenase 2 [Homo sapiens]	Protein
tumor necrosis factor receptor superfamily, member 10d precursor [Homo sapiens] interacts with calreticulin precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	tumor necrosis factor receptor superfamily, member 10d precursor [Homo sapiens]	Protein	calreticulin precursor [Homo sapiens]	Protein
