Relation.source	Relation.target
mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]
epidermal growth factor receptor isoform a [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]	ribosomal protein L31 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]
heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	BCL2-antagonist of cell death protein [Homo sapiens]
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S13 [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 interacting protein 1 isoform alpha [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein S7 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	splicing factor 3b, subunit 3 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 [Homo sapiens]
ribosomal protein S25 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S14 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S19 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	insulin receptor substrate 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
paxillin [Homo sapiens]	PTK2B protein tyrosine kinase 2 beta isoform a [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	inosine monophosphate dehydrogenase 2 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	guanylate binding protein 4 [Homo sapiens]
ribosomal protein S28 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L12 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	glycogen synthase kinase 3 beta [Homo sapiens]
beta actin [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	arginine/serine-rich splicing factor 6 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]
ribosomal protein S3 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S8 [Homo sapiens]
40S ribosomal protein S3a [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
staufen isoform c [Homo sapiens]	beta actin [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	similar to 60S ribosomal protein L21 [Homo sapiens]
integrin beta 1 isoform 1A precursor [Homo sapiens]	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	TNF receptor-associated factor 2 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	exportin 5 [Homo sapiens]
heat shock protein 90kDa alpha (cytosolic), class A member 1 [Homo sapiens]	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	nuclear receptor subfamily 4, group A, member 1 isoform a [Homo sapiens]
conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	LSM2 homolog, U6 small nuclear RNA associated [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S19 [Homo sapiens]
p21-activated kinase 2 [Homo sapiens]	solute carrier family 36 (proton/amino acid symporter), member 2 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens]	ribosomal protein L35a [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein P0 [Homo sapiens]
integrin-linked kinase [Homo sapiens]	Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]
solute carrier family 25, member A6 [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein S16 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S27 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	CDC37 homolog [Homo sapiens]
TANK-binding kinase 1 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
similar to 40S ribosomal protein S26 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L31 [Homo sapiens]
mutated in colorectal cancers [Homo sapiens]	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L26 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein P1 isoform 1 [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	fusion (involved in t(12;16) in malignant liposarcoma) isoform b [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
vinculin isoform VCL [Homo sapiens]	cytochrome c [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein L36 [Homo sapiens]
heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]
cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens]	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]
ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog [Homo sapiens]
protein kinase D1 [Homo sapiens]	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Homo sapiens]
ribosomal protein S5 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	eukaryotic translation initiation factor 4A, isoform 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	translocase of inner mitochondrial membrane 50 homolog [Homo sapiens]
BCL2-like 11 isoform 6 [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa [Homo sapiens]	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	mitogen-activated protein kinase kinase 2 [Homo sapiens]
RNA-binding protein S1, serine-rich domain [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
ribosomal protein L36 [Homo sapiens]	receptor-interacting serine-threonine kinase 2 [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein L31 [Homo sapiens]
TRAF2 and NCK interacting kinase [Homo sapiens]	inosine monophosphate dehydrogenase 2 [Homo sapiens]
paxillin [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
ribosomal protein S26 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa [Homo sapiens]
ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	myogenin [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	solute carrier family 36 (proton/amino acid symporter), member 2 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
40S ribosomal protein S3a [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
c-src tyrosine kinase [Homo sapiens]	paxillin [Homo sapiens]
paxillin [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L10 [Homo sapiens]
B-cell lymphoma 6 protein [Homo sapiens]	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]
poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	heterogeneous nuclear ribonucleoprotein D isoform d [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S4, X-linked X isoform [Homo sapiens]
cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	ribosomal protein S16 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	calmodulin 3 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	eukaryotic translation initiation factor 4 gamma, 1 isoform 4 [Homo sapiens]
cadherin 1, type 1 preproprotein [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L32 [Homo sapiens]
B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	cyclin-dependent kinase 2 isoform 1 [Homo sapiens]
mitogen-activated protein kinase kinase 4 [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S11 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
TANK-binding kinase 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
ribosomal protein L18a [Homo sapiens]	midkine [Homo sapiens]
vinculin isoform VCL [Homo sapiens]	hypothetical protein LOC388524 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	cytochrome c [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein [Homo sapiens]
ataxin 1 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	Sp1 transcription factor [Homo sapiens]
paxillin [Homo sapiens]	proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]
tumor necrosis factor receptor 2 precursor [Homo sapiens]	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	signal transducer and activator of transcription 3 isoform 2 [Homo sapiens]
paxillin [Homo sapiens]	clathrin heavy chain 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
beta actin [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 interacting protein 2 [Homo sapiens]	ribosomal protein S27 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S15a [Homo sapiens]
ribosomal protein S13 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
ribosomal protein L18a [Homo sapiens]	neural precursor cell expressed, developmentally down-regulated 4 isoform 1 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	signal transducer and activator of transcription 5A [Homo sapiens]
erythropoietin receptor precursor [Homo sapiens]	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	eukaryotic translation initiation factor 3 subunit 7 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S28 [Homo sapiens]
eukaryotic translation initiation factor 4E [Homo sapiens]	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]
CD4 antigen precursor [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
protein kinase C, iota [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	heat shock 90kDa protein 1, beta [Homo sapiens]
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein S5 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein S8 [Homo sapiens]
paxillin [Homo sapiens]	ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	ribosomal protein L18 [Homo sapiens]
guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
beta actin [Homo sapiens]	eukaryotic translation initiation factor 3 subunit 7 [Homo sapiens]
integrin-linked kinase [Homo sapiens]	U2 (RNU2) small nuclear RNA auxiliary factor 2 isoform b [Homo sapiens]
beta actin [Homo sapiens]	hypothetical protein LOC388524 [Homo sapiens]
eukaryotic translation initiation factor 1B [Homo sapiens]	ribosomal protein L36 [Homo sapiens]
TRAF2 and NCK interacting kinase [Homo sapiens]	calmodulin 1 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	DNA directed RNA polymerase II polypeptide B [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]
retinoblastoma 1 [Homo sapiens]	myc proto-oncogene protein [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 8, 110kDa [Homo sapiens]
insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S13 [Homo sapiens]
interleukin-1 receptor-associated kinase 1 isoform 2 [Homo sapiens]	TNF receptor-associated factor 6 [Homo sapiens]
conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	actin, gamma 1 propeptide [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	serine/arginine repetitive matrix 1 [Homo sapiens]
poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
eukaryotic translation termination factor 1 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	interferon-alpha receptor 1 precursor [Homo sapiens]
PTK2 protein tyrosine kinase 2 isoform b [Homo sapiens]	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]
receptor-interacting serine-threonine kinase 3 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
pinin, desmosome associated protein [Homo sapiens]	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	heat shock 90kDa protein 1, beta [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L31 [Homo sapiens]
insulin-like growth factor binding protein 5 [Homo sapiens]	thrombospondin 1 precursor [Homo sapiens]
guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	integrin beta 1 isoform 1A precursor [Homo sapiens]
paxillin [Homo sapiens]	v-abl Abelson murine leukemia viral oncogene homolog 1 isoform a [Homo sapiens]
eukaryotic translation initiation factor 2 beta [Homo sapiens]	hypothetical protein LOC57562 [Homo sapiens]
mitogen-activated protein kinase kinase 1 [Homo sapiens]	mitogen-activated protein kinase 1 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S5 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	similar to 40S ribosomal protein S26 [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	ribosomal protein S16 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	TNF receptor-associated factor 2 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein L30 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein L22 proprotein [Homo sapiens]
BCL2-antagonist of cell death protein [Homo sapiens]	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	tumor necrosis factor ligand superfamily, member 11 isoform 1 [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	interleukin-1 receptor-associated kinase 1 isoform 2 [Homo sapiens]
glutathione transferase kappa 1 [Homo sapiens]	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]
complement component 1, q subcomponent binding protein precursor [Homo sapiens]	protein kinase C, zeta isoform 2 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S8 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 4E [Homo sapiens]
receptor-interacting serine-threonine kinase 3 [Homo sapiens]	ribosomal protein S27 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L12 [Homo sapiens]
activin A type I receptor precursor [Homo sapiens]	immunoglobulin superfamily, member 1 isoform 1 [Homo sapiens]
tumor necrosis factor receptor 1 precursor [Homo sapiens]	ribosomal protein S27 [Homo sapiens]
BCL2-antagonist of cell death protein [Homo sapiens]	Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 interacting protein 1 isoform alpha [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	splicing factor, arginine/serine-rich 4 [Homo sapiens]
integrin beta 1 isoform 1A precursor [Homo sapiens]	four and a half LIM domains 2 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	mago-nashi homolog, proliferation-associated (Drosophila) [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S16 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa [Homo sapiens]
eukaryotic translation initiation factor 2 beta [Homo sapiens]	hypothetical protein LOC57562 [Homo sapiens]
transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	gemin4 [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 [Homo sapiens]
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	mitogen-activated protein kinase kinase 1 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein S14 [Homo sapiens]
ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	glycogen synthase kinase 3 beta [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S13 [Homo sapiens]
microRNA 133a-1 [Homo sapiens]	polypyrimidine tract-binding protein 1 isoform a [Homo sapiens]
integrin beta 1 isoform 1A precursor [Homo sapiens]	PTK2 protein tyrosine kinase 2 isoform b [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein S3 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein L18 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 4 gamma, 1 isoform 4 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	60S ribosomal protein L7a [Homo sapiens]
tumor necrosis factor receptor 2 precursor [Homo sapiens]	insulin receptor substrate 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L35a [Homo sapiens]
Sp1 transcription factor [Homo sapiens]	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]
proteasome 26S non-ATPase subunit 11 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
TRAF2 and NCK interacting kinase [Homo sapiens]	mitogen-activated protein kinase 1 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S3 [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	actin, gamma 1 propeptide [Homo sapiens]
retinoic acid receptor, alpha isoform a [Homo sapiens]	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]
mitogen-activated protein kinase kinase kinase 11 [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	protein kinase C, alpha [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	CDC37 homolog [Homo sapiens]
insulin-like growth factor 1 receptor precursor [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
transforming growth factor, beta receptor I precursor [Homo sapiens]	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	glyceraldehyde-3-phosphate dehydrogenase [Homo sapiens]
TNF receptor-associated factor 6 [Homo sapiens]	interleukin-1 receptor-associated kinase 1 isoform 2 [Homo sapiens]
TNF receptor-associated factor 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
major histocompatibility complex, class I, B [Homo sapiens]	v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]
paxillin [Homo sapiens]	protein tyrosine phosphatase, non-receptor type 11 [Homo sapiens]
paxillin [Homo sapiens]	LIM and senescent cell antigen-like domains 1 [Homo sapiens]
v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 [Homo sapiens]
promyelocytic leukemia zinc finger protein [Homo sapiens]	keratin associated protein 4-12 [Homo sapiens]
transforming growth factor, beta receptor I precursor [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
cyclin-dependent kinase inhibitor 1A [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
fused toes homolog [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
eukaryotic translation initiation factor 1B [Homo sapiens]	CDC37 homolog [Homo sapiens]
heterogeneous nuclear ribonucleoprotein D isoform d [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein L18a [Homo sapiens]
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	p21-activated kinase 2 [Homo sapiens]
