Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank	Related objects (Gene elements).Object	Related objects (Gene elements).Object type	Related objects (Gene elements).Pathways
integrin alpha-V precursor [Homo sapiens]	Protein	ITGAV [Homo sapiens]	20	3	1.2139925270740501	ITGAV [Homo sapiens]	Gene	Regulation of actin cytoskeleton [Homo sapiens];ECM-receptor interaction [Homo sapiens];Cell adhesion molecules (CAMs) [Homo sapiens];Focal adhesion [Homo sapiens];Cell Communication [Homo sapiens];Hematopoietic cell lineage [Homo sapiens];Small cell lung cancer [Homo sapiens]
integrin beta 1 isoform 1A precursor [Homo sapiens]	Protein	ITGB1 [Homo sapiens]	118	3	1.12030291344969	ITGB1 [Homo sapiens]	Gene	Focal adhesion [Homo sapiens];Axon guidance [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];ECM-receptor interaction [Homo sapiens];Cell adhesion molecules (CAMs) [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Small cell lung cancer [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens]
integrin, beta 2 precursor [Homo sapiens]	Protein	ITGB2 [Homo sapiens]	36	2	1.144166395328186	ITGB2 [Homo sapiens]	Gene	Cell adhesion molecules (CAMs) [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Focal adhesion [Homo sapiens];ECM-receptor interaction [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens]
integrin beta chain, beta 3 precursor [Homo sapiens]	Protein	ITGB3 [Homo sapiens]	23	2	0.947865395869863	ITGB3 [Homo sapiens]	Gene	Hematopoietic cell lineage [Homo sapiens];Focal adhesion [Homo sapiens];ECM-receptor interaction [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Axon guidance [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Cell adhesion molecules (CAMs) [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Small cell lung cancer [Homo sapiens]
intersectin 2 isoform 1 [Homo sapiens]	Protein	ITSN2 [Homo sapiens]	6	2	0.947836223050059	ITSN2 [Homo sapiens]	Gene	
intersex-like [Homo sapiens]	Protein	IXL [Homo sapiens]	91	0	0.635891944397741	IXL [Homo sapiens]	Gene	
jagged 2 isoform a precursor [Homo sapiens]	Protein	JAG2 [Homo sapiens]	4	1	1.171867852794046	JAG2 [Homo sapiens]	Gene	Notch signaling pathway [Homo sapiens]
janus kinase 1 [Homo sapiens]	Protein	JAK1 [Homo sapiens]	40	2	1.0988875654801966	JAK1 [Homo sapiens]	Gene	Pancreatic cancer [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];IL-6_atrophy;IL-6_signaling_pathway;IL13_PI3K_AKT1_pathway_lung
Janus kinase 2 [Homo sapiens]	Protein	JAK2 [Homo sapiens]	69	2	1.0547431695951885	JAK2 [Homo sapiens]	Gene	Adipocytokine signaling pathway [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];Pancreatic cancer [Homo sapiens];IL17_IL6_MUC5B_pathway_lung;IL-6_atrophy;IL-6_signaling_pathway;IL13_MUC5AC_pathway_lung
Janus kinase 3 [Homo sapiens]	Protein	JAK3 [Homo sapiens]	30	2	0.7586067436576243	JAK3 [Homo sapiens]	Gene	Adipocytokine signaling pathway [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];Pancreatic cancer [Homo sapiens];Primary immunodeficiency [Homo sapiens];IL-6_signaling_pathway
multiple coiled-coil GABABR1-binding protein [Homo sapiens]	Protein	JAKMIP1 [Homo sapiens]	7	1	0.3432343073232283	JAKMIP1 [Homo sapiens]	Gene	
retinoblastoma binding protein 2 [Homo sapiens]	Protein	JARID1A [Homo sapiens]	9	1	0.8859144530330937	JARID1A [Homo sapiens];FAM22B [Homo sapiens]	Gene;Gene	;
v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Protein	JUN [Homo sapiens]	104	1	1.1348258681431134	JUN [Homo sapiens];ATF3 [Homo sapiens]	Gene;Gene	Toll-like receptor signaling pathway [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];Colorectal cancer [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];GnRH signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Wnt signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];Renal cell carcinoma [Homo sapiens];ErbB signaling pathway [Homo sapiens];IGF1-MAPK_pathway_blood;IGF1_MAPK pathway;IL-6_signaling_pathway;IL1B_NFkB_TGFB1_pathway_lung;Insulin-MAPK-PI3K-AKT_pathway_;ROS_MAPKs_MMP1_pathway_lung;TLR4-AP1_pathway_blood;TNF-MAPK;TNF_involves_NFkB-cJUN-AFT_;
jun B proto-oncogene [Homo sapiens]	Protein	JUNB [Homo sapiens]	26	1	0.955692130868397	JUNB [Homo sapiens]	Gene	
kinase insert domain receptor (a type III receptor tyrosine kinase) [Homo sapiens]	Protein	KDR [Homo sapiens]	39	4	1.4840977082619367	KDR [Homo sapiens]	Gene	VEGF signaling pathway [Homo sapiens];Cytokine-cytokine receptor interaction [Homo sapiens];GnRH signaling pathway [Homo sapiens];Pancreatic cancer [Homo sapiens];Glioma [Homo sapiens];MAPK signaling pathway [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];ErbB signaling pathway [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Endometrial cancer [Homo sapiens];Bladder cancer [Homo sapiens];Calcium signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Adherens junction [Homo sapiens];Gap junction [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Colorectal cancer [Homo sapiens];Prostate cancer [Homo sapiens];Melanoma [Homo sapiens];muscle_angiogenesis_pathway_blood
KH domain containing, RNA binding, signal transduction associated 1 [Homo sapiens]	Protein	KHDRBS1 [Homo sapiens]	45	2	1.0226416038413166	KHDRBS1 [Homo sapiens];HNRNPM [Homo sapiens]	Gene;Gene	;
hypothetical protein LOC23141 isoform 1 [Homo sapiens]	Protein	KIAA0692 [Homo sapiens]	0	1	0.9573831083967549	KIAA0692 [Homo sapiens];CDC37 [Homo sapiens];KCTD5 [Homo sapiens];NUP62 [Homo sapiens];OTUB1 [Homo sapiens];WBP11 [Homo sapiens];ZNF259 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene	;;;;;;
KIAA1008 [Homo sapiens]	Protein	KIAA1008 [Homo sapiens]	1	1	0.8196828255837834	KIAA1008 [Homo sapiens]	Gene	
v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog precursor [Homo sapiens]	Protein	KIT [Homo sapiens]	25	3	0.9015728187385853	KIT [Homo sapiens]	Gene	Cytokine-cytokine receptor interaction [Homo sapiens];Melanogenesis [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Hematopoietic cell lineage [Homo sapiens]
Kruppel-like factor 5 [Homo sapiens]	Protein	KLF5 [Homo sapiens]	6	1	1.1710590529025333	KLF5 [Homo sapiens]	Gene	
Kruppel-like factor 6 [Homo sapiens]	Protein	KLF6 [Homo sapiens]	7	2	0.9174970045864317	KLF6 [Homo sapiens];ATP5J2 [Homo sapiens];C12orf24 [Homo sapiens];C7orf44 [Homo sapiens];GBP1 [Homo sapiens];HLA-E [Homo sapiens];LRPPRC [Homo sapiens];MRPL11 [Homo sapiens];MVP [Homo sapiens];MMVP1 [Homo sapiens];NDUFAB1 [Homo sapiens];PARP2 [Homo sapiens];PDXP [Homo sapiens];PIGL [Homo sapiens];SOCS3 [Homo sapiens];TMEM177 [Homo sapiens];ZNHIT3 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	;Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];Oxidative phosphorylation [Homo sapiens];Parkinson's disease [Homo sapiens];;;;Antigen processing and presentation [Homo sapiens];Cell adhesion molecules (CAMs) [Homo sapiens];Type I diabetes mellitus [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];Autoimmune thyroid disease [Homo sapiens];Allograft rejection [Homo sapiens];Graft-versus-host disease [Homo sapiens];;;;;Oxidative phosphorylation [Homo sapiens];Parkinson's disease [Homo sapiens];Base excision repair [Homo sapiens];Vitamin B6 metabolism [Homo sapiens];Glycosylphosphatidylinositol(GPI)-anchor biosynthesis [Homo sapiens];Glycan structures - biosynthesis 2 [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens];Type II diabetes mellitus [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];IL-6_atrophy;;
kelch domain containing 5 [Homo sapiens]	Protein	KLHDC5 [Homo sapiens]	6	2	0.5014941335981457	KLHDC5 [Homo sapiens];BUB3 [Homo sapiens];C12orf29 [Homo sapiens];C1orf31 [Homo sapiens];C21orf45 [Homo sapiens];CDC20 [Homo sapiens];CDCA5 [Homo sapiens];CENPL [Homo sapiens];CENPN [Homo sapiens];CHEK1 [Homo sapiens];CKS1B [Homo sapiens];DKC1 [Homo sapiens];EDC3 [Homo sapiens];FAM119A [Homo sapiens];FAM54A [Homo sapiens];GABPB2 [Homo sapiens];GART [Homo sapiens];H2AFZ [Homo sapiens];HSPA14 [Homo sapiens];ILF2 [Homo sapiens];ISG20L2 [Homo sapiens];KPNA2 [Homo sapiens];NUP50 [Homo sapiens];NXT1 [Homo sapiens];PHF19 [Homo sapiens];PWP1 [Homo sapiens];RAN [Homo sapiens];RPL22L1 [Homo sapiens];SFRS10 [Homo sapiens];SNRPB [Homo sapiens];TDP1 [Homo sapiens];TIPIN [Homo sapiens];TMEM68 [Homo sapiens];TRIB3 [Homo sapiens];UCK2 [Homo sapiens];UTP18 [Homo sapiens];YRDC [Homo sapiens];ZNF596 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	;Cell cycle [Homo sapiens];;;;Ubiquitin mediated proteolysis [Homo sapiens];Cell cycle [Homo sapiens];;;;Cell cycle [Homo sapiens];p53 signaling pathway [Homo sapiens];Small cell lung cancer [Homo sapiens];;;;;;Purine metabolism [Homo sapiens];One carbon pool by folate [Homo sapiens];;;;;;;;;;;Ribosome [Homo sapiens];;;;;;;Pyrimidine metabolism [Homo sapiens];Drug metabolism - other enzymes [Homo sapiens];;;
kelch-like 12 [Homo sapiens]	Protein	KLHL12 [Homo sapiens]	19	1	0.9382125549693946	KLHL12 [Homo sapiens];DNAJC14 [Homo sapiens];KBTBD4 [Homo sapiens];RBBP4 [Homo sapiens];ZNF44 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene	;;;;
prostate specific antigen isoform 3 preproprotein [Homo sapiens]	Protein	KLK3 [Homo sapiens]	8	1	1.0271915947661407	KLK3 [Homo sapiens]	Gene	Prostate cancer [Homo sapiens]
kininogen 1 [Homo sapiens]	Protein	KNG1 [Homo sapiens]	24	1	0.7770223300891833	KNG1 [Homo sapiens]	Gene	Complement and coagulation cascades [Homo sapiens]
kinetochore associated 2 [Homo sapiens]	Protein	KNTC2 [Homo sapiens]	25	0	0.5953537564010584	KNTC2 [Homo sapiens]	Gene	
karyopherin alpha 1 [Homo sapiens]	Protein	KPNA1 [Homo sapiens]	17	3	1.5065231153179635	KPNA1 [Homo sapiens];ABL2 [Homo sapiens];ALS2CR16 [Homo sapiens];NBEAL1 [Homo sapiens];API5 [Homo sapiens];ARFGEF2 [Homo sapiens];ATF1 [Homo sapiens];GDNF [Homo sapiens];ATP6V1C1 [Homo sapiens];C12orf35 [Homo sapiens];C16orf63 [Homo sapiens];C16orf72 [Homo sapiens];C18orf25 [Homo sapiens];C3orf23 [Homo sapiens];C5orf22 [Homo sapiens];C5orf33 [Homo sapiens];AKIRIN2 [Homo sapiens];CAB39 [Homo sapiens];CDK8 [Homo sapiens];CDV3 [Homo sapiens];COPA [Homo sapiens];DBT [Homo sapiens];DCUN1D1 [Homo sapiens];DCUN1D4 [Homo sapiens];DDA1 [Homo sapiens];DRAP1 [Homo sapiens];DYNC1LI1 [Homo sapiens];EIF4G1 [Homo sapiens];EXOC5 [Homo sapiens];FAF1 [Homo sapiens];FAM62B [Homo sapiens];FBXO38 [Homo sapiens];FBXW11 [Homo sapiens];FCGRT [Homo sapiens];FKBP15 [Homo sapiens];FOXJ3 [Homo sapiens];FOXK2 [Homo sapiens];FOXN2 [Homo sapiens];GALNT2 [Homo sapiens];GFM2 [Homo sapiens];GNA13 [Homo sapiens];GOLGA7 [Homo sapiens];GOLT1B [Homo sapiens];GRPEL2 [Homo sapiens];HSPA4 [Homo sapiens];KBTBD2 [Homo sapiens];KPNA4 [Homo sapiens];LRRC28 [Homo sapiens];MAP3K7IP3 [Homo sapiens];MAPK1 [Homo sapiens];MAPKAP1 [Homo sapiens];PCDHB11 [Homo sapiens];ME2 [Homo sapiens];CELSR1 [Homo sapiens];MFN2 [Homo sapiens];MRPL44 [Homo sapiens];NAT13 [Homo sapiens];NEDD1 [Homo sapiens];NMD3 [Homo sapiens];OTUD4 [Homo sapiens];PATL1 [Homo sapiens];PCYT1A [Homo sapiens];PHTF2 [Homo sapiens];PIP4K2B [Homo sapiens];PRICKLE3 [Homo sapiens];PSME4 [Homo sapiens];RAB35 [Homo sapiens];RAB6A [Homo sapiens];RAB7A [Homo sapiens];RABEP1 [Homo sapiens];RABL3 [Homo sapiens];RANBP9 [Homo sapiens];CCL14 [Homo sapiens];SCYL2 [Homo sapiens];SLC39A9 [Homo sapiens];SLC40A1 [Homo sapiens];SLC4A7 [Homo sapiens];SOCS6 [Homo sapiens];TAOK1 [Homo sapiens];TBC1D20 [Homo sapiens];TIMM23 [Homo sapiens];TMEM189-UBE2V1 [Homo sapiens];TMEM64 [Homo sapiens];TNKS2 [Homo sapiens];UBE2A [Homo sapiens];UBE3C [Homo sapiens];USP25 [Homo sapiens];VDAC1 [Homo sapiens];VTA1 [Homo sapiens];YAF2 [Homo sapiens];YKT6 [Homo sapiens];YTHDC2 [Homo sapiens];YTHDF3 [Homo sapiens];YWHAZ [Homo sapiens];ZDHHC20 [Homo sapiens];ZDHHC5 [Homo sapiens];ZFAND3 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	;Chronic myeloid leukemia [Homo sapiens];ErbB signaling pathway [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Axon guidance [Homo sapiens];Cell cycle [Homo sapiens];;;;;TNF-MAPK;TNF_involves_NFkB-cJUN-AFT_;;Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];Cholera [Homo sapiens];Oxidative phosphorylation [Homo sapiens];Parkinson's disease [Homo sapiens];Vibrio cholerae infection [Homo sapiens];;;;;;;;;mTOR signaling pathway [Homo sapiens];;;Neuroactive ligand-receptor interaction [Homo sapiens];Valine, leucine and isoleucine degradation [Homo sapiens];;;;;;AKT-mTOR_regulated_skeletal-muscle-hypertrophy;Insulin-MAPK-PI3K-AKT_pathway_;;;;;Hedgehog signaling pathway [Homo sapiens];Wnt signaling pathway [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];;;;;;Glycan structures - biosynthesis 1 [Homo sapiens];O-Glycan biosynthesis [Homo sapiens];;Regulation of actin cytoskeleton [Homo sapiens];Long-term depression [Homo sapiens];;;;MAPK signaling pathway [Homo sapiens];Antigen processing and presentation [Homo sapiens];;;;;Long-term potentiation [Homo sapiens];Focal adhesion [Homo sapiens];GnRH signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens];VEGF signaling pathway [Homo sapiens];Fc epsilon RI signaling pathway [Homo sapiens];Long-term depression [Homo sapiens];Colorectal cancer [Homo sapiens];Pancreatic cancer [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];Glioma [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Gap junction [Homo sapiens];MAPK signaling pathway [Homo sapiens];mTOR signaling pathway [Homo sapiens];Axon guidance [Homo sapiens];Adherens junction [Homo sapiens];Type II diabetes mellitus [Homo sapiens];TGF-beta signaling pathway [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Renal cell carcinoma [Homo sapiens];ErbB signaling pathway [Homo sapiens];Endometrial cancer [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Bladder cancer [Homo sapiens];Melanogenesis [Homo sapiens];Melanoma [Homo sapiens];Thyroid cancer [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Prostate cancer [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Dorso-ventral axis formation [Homo sapiens];Inositol phosphate metabolism [Homo sapiens];IL1B-MAPK-MUC5AC_pathway_lung;IL17_IL6_MUC5B_pathway_lung;AKT-mTOR_regulated_skeletal-muscle-hypertrophy;IGF1-MAPK_pathway_blood;IGF1_MAPK pathway;IL-6_signaling_pathway;IL13_MUC5AC_pathway_lung;IL1B-MAPK-MUC2-MUC5AC_pathway_lung;IL1B_MAPK_MUC2_MUC5AC_pathway_lung;Insulin-MAPK-PI3K-AKT_pathway_;muscle_angiogenesis_pathway_blood;ROS_JNK_ERK_pathway_lung;ROS_MAPKs_MMP1_pathway_lung;ROS_TGFa_EGFR_pathway_lung;TGFbeta_signaling_pathway;TNFa-MUC5AC_pathway_lung;TNFa-VEGF_pathway_blood;TNFa_MUC5AC_pathway_lung;;;Pyruvate metabolism [Homo sapiens];;;;;;;;;Glycerophospholipid metabolism [Homo sapiens];Aminophosphonate metabolism [Homo sapiens];;;;;;;;;;;Cytokine-cytokine receptor interaction [Homo sapiens];;;;;Jak-STAT signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens];Type II diabetes mellitus [Homo sapiens];MAPK signaling pathway [Homo sapiens];;;;;;Ubiquitin mediated proteolysis [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];;Calcium signaling pathway [Homo sapiens];Parkinson's disease [Homo sapiens];;;SNARE interactions in vesicular transport [Homo sapiens];;;Cell cycle [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];;;
