Object	Object type	Relation source	Relation source type	Relation target	Relation target type
ribosomal protein S6 [Homo sapiens] interacts with eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa [Homo sapiens]	Protein
promyelocytic leukemia protein isoform 6 [Homo sapiens] interacts with transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	promyelocytic leukemia protein isoform 6 [Homo sapiens]	Protein	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with tumor necrosis factor ligand superfamily, member 11 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	tumor necrosis factor ligand superfamily, member 11 isoform 1 [Homo sapiens]	Protein
caspase 8 isoform A [Homo sapiens] interacts with integrin-linked kinase [Homo sapiens]	Helper_PPI (good experimental evidence)	caspase 8 isoform A [Homo sapiens]	Protein	integrin-linked kinase [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens] interacts with ribosomal protein P2 [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	Protein	ribosomal protein P2 [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens] interacts with tumor protein p53 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein	tumor protein p53 [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens] interacts with poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Protein
paxillin [Homo sapiens] interacts with heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Homo sapiens]	Helper_PPI (good experimental evidence)	paxillin [Homo sapiens]	Protein	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens] interacts with splicing factor 3b, subunit 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein	splicing factor 3b, subunit 3 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein L23 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein L23 [Homo sapiens]	Protein
B-cell lymphoma 6 protein [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (good experimental evidence)	B-cell lymphoma 6 protein [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
TNF receptor-associated factor 2 [Homo sapiens] interacts with TRAF2 and NCK interacting kinase [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 2 [Homo sapiens]	Protein	TRAF2 and NCK interacting kinase [Homo sapiens]	Protein
complement component 1, q subcomponent binding protein precursor [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	complement component 1, q subcomponent binding protein precursor [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens] interacts with translocase of inner mitochondrial membrane 50 homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein	translocase of inner mitochondrial membrane 50 homolog [Homo sapiens]	Protein
CREB binding protein [Homo sapiens] interacts with conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	Helper_PPI (good experimental evidence)	CREB binding protein [Homo sapiens]	Protein	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	Protein
insulin receptor substrate 1 [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	insulin receptor substrate 1 [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
myc proto-oncogene protein [Homo sapiens] interacts with histone deacetylase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	myc proto-oncogene protein [Homo sapiens]	Protein	histone deacetylase 1 [Homo sapiens]	Protein
transcriptional intermediary factor 1 alpha isoform b [Homo sapiens] interacts with nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Helper_PPI (good experimental evidence)	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Protein	nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Protein
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
myc proto-oncogene protein [Homo sapiens] interacts with v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	myc proto-oncogene protein [Homo sapiens]	Protein	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein
epidermal growth factor receptor isoform a [Homo sapiens] interacts with mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Helper_PPI (good experimental evidence)	epidermal growth factor receptor isoform a [Homo sapiens]	Protein	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa [Homo sapiens]	Protein
insulin-like growth factor binding protein 5 [Homo sapiens] interacts with four and a half LIM domains 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	insulin-like growth factor binding protein 5 [Homo sapiens]	Protein	four and a half LIM domains 2 [Homo sapiens]	Protein
TRAF2 and NCK interacting kinase [Homo sapiens] interacts with cytochrome c [Homo sapiens]	Helper_PPI (good experimental evidence)	TRAF2 and NCK interacting kinase [Homo sapiens]	Protein	cytochrome c [Homo sapiens]	Protein
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens] interacts with protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	Protein	protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	Protein
v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens] interacts with ataxin 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Protein	ataxin 1 [Homo sapiens]	Protein
activating signal cointegrator 1 complex subunit 2 [Homo sapiens] interacts with phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	activating signal cointegrator 1 complex subunit 2 [Homo sapiens]	Protein	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens] interacts with damage-specific DNA binding protein 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein	damage-specific DNA binding protein 1 [Homo sapiens]	Protein
platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (good experimental evidence)	platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
cyclin-dependent kinase 2 isoform 1 [Homo sapiens] interacts with poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	Protein	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Protein
TNF receptor-associated factor 6 [Homo sapiens] interacts with CDC37 homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 6 [Homo sapiens]	Protein	CDC37 homolog [Homo sapiens]	Protein
p21-activated kinase 1 [Homo sapiens] interacts with v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	Helper_PPI (good experimental evidence)	p21-activated kinase 1 [Homo sapiens]	Protein	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	Protein
heat shock 70kDa protein 8 isoform 1 [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (Two-hybrid)	heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (good experimental evidence)	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein L3 isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein L3 isoform a [Homo sapiens]	Protein
TANK-binding kinase 1 [Homo sapiens] interacts with ribosomal protein S18 [Homo sapiens]	Helper_PPI (good experimental evidence)	TANK-binding kinase 1 [Homo sapiens]	Protein	ribosomal protein S18 [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with ribosomal protein S9 [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	ribosomal protein S9 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein S25 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein S25 [Homo sapiens]	Protein
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens] interacts with interferon-alpha receptor 1 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein	interferon-alpha receptor 1 precursor [Homo sapiens]	Protein
receptor-interacting serine-threonine kinase 3 [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	receptor-interacting serine-threonine kinase 3 [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with ribosomal protein L7 [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	ribosomal protein L7 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens] interacts with splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor) [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor) [Homo sapiens]	Protein
mitogen-activated protein kinase kinase 1 [Homo sapiens] interacts with v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase 1 [Homo sapiens]	Protein	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Protein
MAD, mothers against decapentaplegic homolog 3 [Homo sapiens] interacts with ribosomal protein P0 [Homo sapiens]	Helper_PPI (good experimental evidence)	MAD, mothers against decapentaplegic homolog 3 [Homo sapiens]	Protein	ribosomal protein P0 [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with erythropoietin receptor precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	erythropoietin receptor precursor [Homo sapiens]	Protein
glycogen synthase kinase 3 beta [Homo sapiens] interacts with splicing factor 3a, subunit 1, 120kDa isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	glycogen synthase kinase 3 beta [Homo sapiens]	Protein	splicing factor 3a, subunit 1, 120kDa isoform 2 [Homo sapiens]	Protein
hypothetical protein FLJ20425 [Homo sapiens] interacts with mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	hypothetical protein FLJ20425 [Homo sapiens]	Protein	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	Protein
cyclin-dependent kinase 2 isoform 1 [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
protein kinase D1 [Homo sapiens] interacts with insulin-like growth factor 1 receptor precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	protein kinase D1 [Homo sapiens]	Protein	insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens] interacts with tubulin, beta 4 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein	tubulin, beta 4 [Homo sapiens]	Protein
insulin receptor [Homo sapiens] interacts with vav 1 oncogene [Homo sapiens]	Helper_PPI (good experimental evidence)	insulin receptor [Homo sapiens]	Protein	vav 1 oncogene [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein L18 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein L18 [Homo sapiens]	Protein
mitogen-activated protein kinase 14 isoform 1 [Homo sapiens] interacts with mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Protein	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	Protein
epidermal growth factor receptor isoform a [Homo sapiens] interacts with tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	epidermal growth factor receptor isoform a [Homo sapiens]	Protein	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein
Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens] interacts with ribosomal protein L31 [Homo sapiens]	Helper_PPI (Two-hybrid)	Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]	Protein	ribosomal protein L31 [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens] interacts with p21-activated kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein	p21-activated kinase 1 [Homo sapiens]	Protein
p21-activated kinase 1 [Homo sapiens] interacts with ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]	Helper_PPI (good experimental evidence)	p21-activated kinase 1 [Homo sapiens]	Protein	ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]	Protein
heat shock 70kDa protein 8 isoform 1 [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
B-cell lymphoma protein 2 alpha isoform [Homo sapiens] interacts with BCL2-antagonist of cell death protein [Homo sapiens]	Helper_PPI (good experimental evidence)	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Protein	BCL2-antagonist of cell death protein [Homo sapiens]	Protein
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens] interacts with mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	Protein	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Protein
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with ribosomal protein S13 [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	ribosomal protein S13 [Homo sapiens]	Protein
glycogen synthase kinase 3 beta [Homo sapiens] interacts with Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]	Helper_PPI (good experimental evidence)	glycogen synthase kinase 3 beta [Homo sapiens]	Protein	Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 7 interacting protein 1 isoform alpha [Homo sapiens] interacts with mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 7 interacting protein 1 isoform alpha [Homo sapiens]	Protein	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein S7 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein S7 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with 3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with splicing factor 3b, subunit 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	splicing factor 3b, subunit 3 [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Homo sapiens] interacts with ribosomal protein L23 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Homo sapiens]	Protein	ribosomal protein L23 [Homo sapiens]	Protein
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens] interacts with protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 [Homo sapiens]	Protein
ribosomal protein S25 [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S25 [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein S14 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein S14 [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with ribosomal protein S19 [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	ribosomal protein S19 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens] interacts with insulin receptor substrate 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein	insulin receptor substrate 1 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens] interacts with tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein	tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens] interacts with poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	Protein	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Protein
paxillin [Homo sapiens] interacts with PTK2B protein tyrosine kinase 2 beta isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	paxillin [Homo sapiens]	Protein	PTK2B protein tyrosine kinase 2 beta isoform a [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with inosine monophosphate dehydrogenase 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	inosine monophosphate dehydrogenase 2 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with guanylate binding protein 4 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	guanylate binding protein 4 [Homo sapiens]	Protein
ribosomal protein S28 [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S28 [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein L12 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein L12 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with glycogen synthase kinase 3 beta [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	glycogen synthase kinase 3 beta [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens] interacts with arginine/serine-rich splicing factor 6 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein	arginine/serine-rich splicing factor 6 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens] interacts with conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	Protein
ribosomal protein S3 [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S3 [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with ribosomal protein S8 [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	ribosomal protein S8 [Homo sapiens]	Protein
40S ribosomal protein S3a [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	40S ribosomal protein S3a [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
staufen isoform c [Homo sapiens] interacts with beta actin [Homo sapiens]	Helper_PPI (good experimental evidence)	staufen isoform c [Homo sapiens]	Protein	beta actin [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with similar to 60S ribosomal protein L21 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	similar to 60S ribosomal protein L21 [Homo sapiens]	Protein
integrin beta 1 isoform 1A precursor [Homo sapiens] interacts with tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	integrin beta 1 isoform 1A precursor [Homo sapiens]	Protein	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with p21-activated kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	p21-activated kinase 1 [Homo sapiens]	Protein
