Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank	Related objects (Gene elements).Object	Related objects (Gene elements).Object type	Related objects (Gene elements).Pathways
heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	Protein	HNRPK [Homo sapiens]	153	1	1.0439079921955268	HNRPK [Homo sapiens];BUB3 [Homo sapiens];HNRNPU [Homo sapiens]	Gene;Gene;Gene	;Cell cycle [Homo sapiens];
heterogeneous nuclear ribonucleoprotein L isoform b [Homo sapiens]	Protein	HNRPL [Homo sapiens]	132	2	1.0482869564857282	HNRPL [Homo sapiens]	Gene	
heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens]	Protein	HNRPU [Homo sapiens]	131	1	1.034065827191528	HNRPU [Homo sapiens]	Gene	
heat shock transcription factor 1 [Homo sapiens]	Protein	HSF1 [Homo sapiens]	29	2	1.1970291340735033	HSF1 [Homo sapiens];ADRBK1 [Homo sapiens];ADRM1 [Homo sapiens];AKT1S1 [Homo sapiens];AKT2 [Homo sapiens];ALS2CR16 [Homo sapiens];NBEAL1 [Homo sapiens];AP2A1 [Homo sapiens];AP3D1 [Homo sapiens];AQP12A [Homo sapiens];ARHGDIA [Homo sapiens];ASNA1 [Homo sapiens];ATF7IP [Homo sapiens];BACH1 [Homo sapiens];BRIP1 [Homo sapiens];BAP1 [Homo sapiens];MAGI1 [Homo sapiens];RNF2 [Homo sapiens];FAM161B [Homo sapiens];C15orf55 [Homo sapiens];C19orf6 [Homo sapiens];AKIRIN2 [Homo sapiens];C7orf53 [Homo sapiens];C8orf33 [Homo sapiens];CANT1 [Homo sapiens];CBR4 [Homo sapiens];CLCNKB [Homo sapiens];CNOT4 [Homo sapiens];CRKL [Homo sapiens];DAPK3 [Homo sapiens];DDA1 [Homo sapiens];DEDD [Homo sapiens];DISC1 [Homo sapiens];DNAJC11 [Homo sapiens];DPP9 [Homo sapiens];FAF1 [Homo sapiens];FAM63A [Homo sapiens];FBXW12 [Homo sapiens];FHIT [Homo sapiens];FOXK2 [Homo sapiens];GEMIN7 [Homo sapiens];GLE1 [Homo sapiens];GLRX3 [Homo sapiens];GOLGA7 [Homo sapiens];GPR157 [Homo sapiens];GPR52 [Homo sapiens];GRPEL2 [Homo sapiens];HNRNPU [Homo sapiens];IRAK1 [Homo sapiens];KCNH2 [Homo sapiens];KIAA1467 [Homo sapiens];L3MBTL2 [Homo sapiens];LEMD2 [Homo sapiens];MAF1 [Homo sapiens];MAP2K2 [Homo sapiens];MAPK14 [Homo sapiens];MAPKAP1 [Homo sapiens];MAZ [Homo sapiens];MCM3AP [Homo sapiens];MED20 [Homo sapiens];MED22 [Homo sapiens];MFN2 [Homo sapiens];MLF2 [Homo sapiens];MRPS12 [Homo sapiens];MRPS34 [Homo sapiens];MTA1 [Homo sapiens];MTMR1 [Homo sapiens];NCOA2 [Homo sapiens];NKX1-1 [Homo sapiens];NLN [Homo sapiens];NMUR2 [Homo sapiens];OAZ2 [Homo sapiens];OCIAD1 [Homo sapiens];OGDH [Homo sapiens];OR1J2 [Homo sapiens];OR2H1 [Homo sapiens];OTUB2 [Homo sapiens];OXER1 [Homo sapiens];PATL1 [Homo sapiens];PCGF3 [Homo sapiens];PCTK1 [Homo sapiens];PGAM5 [Homo sapiens];POLR2E [Homo sapiens];POMGNT1 [Homo sapiens];PPIF [Homo sapiens];PPP5C [Homo sapiens];PRICKLE3 [Homo sapiens];PRUNE [Homo sapiens];PSME3 [Homo sapiens];PVR [Homo sapiens];RAB35 [Homo sapiens];RABGEF1 [Homo sapiens];RANGAP1 [Homo sapiens];RASSF7 [Homo sapiens];RELA [Homo sapiens];RSPH3 [Homo sapiens];SEMA5A [Homo sapiens];SENP3 [Homo sapiens];LOC641977 [Homo sapiens];SLC22A23 [Homo sapiens];SLC22A3 [Homo sapiens];SLC34A3 [Homo sapiens];SLC35A2 [Homo sapiens];SLC7A1 [Homo sapiens];SMG7 [Homo sapiens];SNX19 [Homo sapiens];SNX26 [Homo sapiens];SPZ1 [Homo sapiens];SRF [Homo sapiens];TAF6L [Homo sapiens];THEG [Homo sapiens];TIMM22 [Homo sapiens];TMC2 [Homo sapiens];ANO7 [Homo sapiens];TOP3B [Homo sapiens];TTC7B [Homo sapiens];UACA [Homo sapiens];UBE2D2 [Homo sapiens];UBE2M [Homo sapiens];UBE3B [Homo sapiens];UCK1 [Homo sapiens];UPF1 [Homo sapiens];USH1G [Homo sapiens];WBP11 [Homo sapiens];WBSCR16 [Homo sapiens];WWP2 [Homo sapiens];XPO7 [Homo sapiens];YKT6 [Homo sapiens];YWHAE [Homo sapiens];ZBTB20 [Homo sapiens];ZDHHC5 [Homo sapiens];ZER1 [Homo sapiens];ZFAND3 [Homo sapiens];ZNF160 [Homo sapiens];ZNF317 [Homo sapiens];ZNF672 [Homo sapiens];ZNHIT2 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	;;;;Fc epsilon RI signaling pathway [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Pancreatic cancer [Homo sapiens];Insulin signaling pathway [Homo sapiens];Apoptosis [Homo sapiens];Glioma [Homo sapiens];VEGF signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Colorectal cancer [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];mTOR signaling pathway [Homo sapiens];Tight junction [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];Prostate cancer [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Small cell lung cancer [Homo sapiens];ErbB signaling pathway [Homo sapiens];Endometrial cancer [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Renal cell carcinoma [Homo sapiens];Melanoma [Homo sapiens];;;;;;;;;;;;Tight junction [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Dentatorubropallidoluysian atrophy (DRPLA) [Homo sapiens];;;;;;;;Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens];;;;Chronic myeloid leukemia [Homo sapiens];Focal adhesion [Homo sapiens];Insulin signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];ErbB signaling pathway [Homo sapiens];Renal cell carcinoma [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Bladder cancer [Homo sapiens];;;;;;;;;;;;;;;;;;;Toll-like receptor signaling pathway [Homo sapiens];Apoptosis [Homo sapiens];IL1B-MAPK-MUC5AC_pathway_lung;cig-smoke_TLR4_NFkB_IL8_pathway_lung;elastase_NFkB_IL8_pathway_lung;IL1B-MAPK-MUC2-MUC5AC_pathway_lung;IL1B_MAPK_MUC2_MUC5AC_pathway_lung;IL1B_NFkB_TGFB1_pathway_lung;TLR2-NFkB_pathway_blood;TLR4-AP1_pathway_blood;TLR4-NFkB_pathway_blood;TNF_IL1B_NFkB_pathway_lung;;;;;;MAPK signaling pathway [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];Glioma [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Long-term potentiation [Homo sapiens];Insulin signaling pathway [Homo sapiens];Long-term depression [Homo sapiens];VEGF signaling pathway [Homo sapiens];Fc epsilon RI signaling pathway [Homo sapiens];Gap junction [Homo sapiens];GnRH signaling pathway [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Melanoma [Homo sapiens];Thyroid cancer [Homo sapiens];Bladder cancer [Homo sapiens];Renal cell carcinoma [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Endometrial cancer [Homo sapiens];Prostate cancer [Homo sapiens];ErbB signaling pathway [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Melanogenesis [Homo sapiens];Focal adhesion [Homo sapiens];Colorectal cancer [Homo sapiens];Pancreatic cancer [Homo sapiens];IL1B-MAPK-MUC5AC_pathway_lung;IL17_IL6_MUC5B_pathway_lung;IGF1-MAPK_pathway_blood;IGF1_MAPK pathway;IL-6_signaling_pathway;IL13_MUC5AC_pathway_lung;IL1B-MAPK-MUC2-MUC5AC_pathway_lung;IL1B_MAPK_MUC2_MUC5AC_pathway_lung;Insulin-MAPK-PI3K-AKT_pathway_;ROS_JNK_ERK_pathway_lung;ROS_MAPKs_MMP1_pathway_lung;ROS_TGFa_EGFR_pathway_lung;TNFa-MUC5AC_pathway_lung;TNFa_MUC5AC_pathway_lung;GnRH signaling pathway [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Fc epsilon RI signaling pathway [Homo sapiens];VEGF signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];IL1B-MAPK-MUC5AC_pathway_lung;AKT-mTOR_regulated_skeletal-muscle-hypertrophy;IL1B-MAPK-MUC2-MUC5AC_pathway_lung;IL1B_MAPK_MUC2_MUC5AC_pathway_lung;IL1B_NFkB_TGFB1_pathway_lung;TLR4-AP1_pathway_blood;TNF-MAPK;TNFa-MUC5AC_pathway_lung;TNFa-VEGF_pathway_blood;TNFa_MUC5AC_pathway_lung;TNF_involves_NFkB-cJUN-AFT_;;;;;;;;;;;Aminosugars metabolism [Homo sapiens];Riboflavin metabolism [Homo sapiens];Fructose and mannose metabolism [Homo sapiens];Thiamine metabolism [Homo sapiens];;;Renin-angiotensin system [Homo sapiens];Neuroactive ligand-receptor interaction [Homo sapiens];;;Lysine degradation [Homo sapiens];Citrate cycle (TCA cycle) [Homo sapiens];Tryptophan metabolism [Homo sapiens];Olfactory transduction [Homo sapiens];Olfactory transduction [Homo sapiens];;;;;;;RNA polymerase [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens];Glycan structures - biosynthesis 1 [Homo sapiens];;MAPK signaling pathway [Homo sapiens];;Purine metabolism [Homo sapiens];Antigen processing and presentation [Homo sapiens];Cell adhesion molecules (CAMs) [Homo sapiens];;;;;Toll-like receptor signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];Apoptosis [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];Pancreatic cancer [Homo sapiens];Prostate cancer [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Small cell lung cancer [Homo sapiens];IL12-MMP9_pathway_blood;NFkB-iNOS_pathway_;TNF-NFkB;TNF_involves_NFkB-cJUN-AFT_;;Axon guidance [Homo sapiens];;;;;;;;;;;;MAPK signaling pathway [Homo sapiens];IGF1-MAPK_pathway_blood;IGF1_MAPK pathway;IL-6_signaling_pathway;Insulin-MAPK-PI3K-AKT_pathway_;Basal transcription factors [Homo sapiens];;;;;Homologous recombination [Homo sapiens];;;Ubiquitin mediated proteolysis [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Drug metabolism - other enzymes [Homo sapiens];;;;;Ubiquitin mediated proteolysis [Homo sapiens];Dentatorubropallidoluysian atrophy (DRPLA) [Homo sapiens];;SNARE interactions in vesicular transport [Homo sapiens];Cell cycle [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];;;;;;;;
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein	HSP90AA1 [Homo sapiens]	107	0	1.0559776419055174	HSP90AA1 [Homo sapiens]	Gene	Antigen processing and presentation [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	Protein	HSP90AB1 [Homo sapiens]	74	1	1.07628956585172	HSP90AB1 [Homo sapiens]	Gene	Antigen processing and presentation [Homo sapiens]
heat shock 70kDa protein 1B [Homo sapiens]	Protein	HSPA1B [Homo sapiens]	222	1	0.0	HSPA1B [Homo sapiens]	Gene	MAPK signaling pathway [Homo sapiens];Antigen processing and presentation [Homo sapiens]
heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Homo sapiens]	Protein	HSPA5 [Homo sapiens]	62	1	0.999134710972338	HSPA5 [Homo sapiens]	Gene	Prion disease [Homo sapiens];Prion diseases [Homo sapiens];Neurodegenerative Diseases [Homo sapiens];MAPK signaling pathway [Homo sapiens];Antigen processing and presentation [Homo sapiens]
heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	Protein	HSPA8 [Homo sapiens]	86	1	1.0633281154198366	HSPA8 [Homo sapiens]	Gene	MAPK signaling pathway [Homo sapiens];Antigen processing and presentation [Homo sapiens]
interferon-alpha receptor 1 precursor [Homo sapiens]	Protein	IFNAR1 [Homo sapiens]	19	3	0.8433462004420641	IFNAR1 [Homo sapiens]	Gene	Natural killer cell mediated cytotoxicity [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];Cytokine-cytokine receptor interaction [Homo sapiens]
insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	Protein	IGF1 [Homo sapiens]	17	4	1.56476804169014	IGF1 [Homo sapiens]	Gene	Glioma [Homo sapiens];Long-term depression [Homo sapiens];p53 signaling pathway [Homo sapiens];mTOR signaling pathway [Homo sapiens];Gap junction [Homo sapiens];Melanoma [Homo sapiens];Focal adhesion [Homo sapiens];Prostate cancer [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Pancreatic cancer [Homo sapiens];MAPK signaling pathway [Homo sapiens];Cytokine-cytokine receptor interaction [Homo sapiens];ErbB signaling pathway [Homo sapiens];Bladder cancer [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Endometrial cancer [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;IGF-1_PI3K_Akt;IGF1-MAPK_pathway_blood;IGF1_MAPK pathway
insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein	IGF1R [Homo sapiens]	47	2	1.1104548546070194	IGF1R [Homo sapiens]	Gene	Glioma [Homo sapiens];Long-term depression [Homo sapiens];Adherens junction [Homo sapiens];GnRH signaling pathway [Homo sapiens];Pancreatic cancer [Homo sapiens];MAPK signaling pathway [Homo sapiens];Cytokine-cytokine receptor interaction [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];ErbB signaling pathway [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Endometrial cancer [Homo sapiens];Bladder cancer [Homo sapiens];Calcium signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Gap junction [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Colorectal cancer [Homo sapiens];Prostate cancer [Homo sapiens];Melanoma [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;IGF-1_PI3K_Akt;IGF1-MAPK_pathway_blood;IGF1_MAPK pathway
insulin-like growth factor binding protein 5 [Homo sapiens]	Protein	IGFBP5 [Homo sapiens]	15	1	2.00010537233584	IGFBP5 [Homo sapiens];BID [Homo sapiens];COL14A1 [Homo sapiens];COL1A1 [Homo sapiens];COL1A2 [Homo sapiens];COL3A1 [Homo sapiens];COL4A1 [Homo sapiens];CXCL12 [Homo sapiens];FBLN2 [Homo sapiens];PDGFRB [Homo sapiens];PDZRN3 [Homo sapiens];PPAP2A [Homo sapiens];PRRX1 [Homo sapiens];SPARC [Homo sapiens];SSPN [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	;Natural killer cell mediated cytotoxicity [Homo sapiens];Apoptosis [Homo sapiens];p53 signaling pathway [Homo sapiens];CD8-T-Lymphocyte_Apoptosis_pathway_blood;TNF-alpha-apoptosis;TNFa_T-Lymphocyte_Apoptosis_pathway_blood;;ECM-receptor interaction [Homo sapiens];Focal adhesion [Homo sapiens];Small cell lung cancer [Homo sapiens];Cell Communication [Homo sapiens];ECM-receptor interaction [Homo sapiens];Focal adhesion [Homo sapiens];Small cell lung cancer [Homo sapiens];Cell Communication [Homo sapiens];ECM-receptor interaction [Homo sapiens];Focal adhesion [Homo sapiens];Small cell lung cancer [Homo sapiens];Cell Communication [Homo sapiens];ECM-receptor interaction [Homo sapiens];Focal adhesion [Homo sapiens];Small cell lung cancer [Homo sapiens];Cell Communication [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Cytokine-cytokine receptor interaction [Homo sapiens];Axon guidance [Homo sapiens];;Cytokine-cytokine receptor interaction [Homo sapiens];Glioma [Homo sapiens];MAPK signaling pathway [Homo sapiens];Gap junction [Homo sapiens];Focal adhesion [Homo sapiens];Calcium signaling pathway [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Adherens junction [Homo sapiens];Prostate cancer [Homo sapiens];Dorso-ventral axis formation [Homo sapiens];Melanoma [Homo sapiens];Colorectal cancer [Homo sapiens];GnRH signaling pathway [Homo sapiens];Pancreatic cancer [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];ErbB signaling pathway [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Endometrial cancer [Homo sapiens];Bladder cancer [Homo sapiens];;Sphingolipid metabolism [Homo sapiens];Glycerolipid metabolism [Homo sapiens];Glycerophospholipid metabolism [Homo sapiens];Ether lipid metabolism [Homo sapiens];;;
insulin-like growth factor binding protein 6 [Homo sapiens]	Protein	IGFBP6 [Homo sapiens]	4	1	1.5352101109266567	IGFBP6 [Homo sapiens]	Gene	
immunoglobulin superfamily, member 1 isoform 1 [Homo sapiens]	Protein	IGSF1 [Homo sapiens]	6	1	0.8458090505778246	IGSF1 [Homo sapiens]	Gene	
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein [Homo sapiens]	Protein	IKBKAP [Homo sapiens]	22	2	0.9978890432957743	IKBKAP [Homo sapiens]	Gene	
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Protein	IKBKB [Homo sapiens]	70	2	1.0462453603564377	IKBKB [Homo sapiens]	Gene	Apoptosis [Homo sapiens];Pancreatic cancer [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Small cell lung cancer [Homo sapiens];Prostate cancer [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Type II diabetes mellitus [Homo sapiens];Insulin signaling pathway [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];TNF_NFkB_MMP9_pathway_lung;cig-smoke_TLR4_NFkB_IL8_pathway_lung;elastase_NFkB_IL8_pathway_lung;IL12-MMP9_pathway_blood;IL1B_NFkB_TGFB1_pathway_lung;NFkB-iNOS_pathway_;TLR2-NFkB_pathway_blood;TLR4-NFkB_pathway_blood;TNF-NFkB;TNF_IL1B_NFkB_pathway_lung;TNF_involves_NFkB-cJUN-AFT_
IKK-related kinase epsilon [Homo sapiens]	Protein	IKBKE [Homo sapiens]	337	1	0.6188357886796491	IKBKE [Homo sapiens]	Gene	Toll-like receptor signaling pathway [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	Protein	IKBKG [Homo sapiens]	162	1	0.8987220238665766	IKBKG [Homo sapiens]	Gene	Toll-like receptor signaling pathway [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];Primary immunodeficiency [Homo sapiens];Apoptosis [Homo sapiens];Pancreatic cancer [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Small cell lung cancer [Homo sapiens];Prostate cancer [Homo sapiens];cig-smoke_TLR4_NFkB_IL8_pathway_lung;elastase_NFkB_IL8_pathway_lung;NFkB-iNOS_pathway_;TLR2-NFkB_pathway_blood;TLR4-NFkB_pathway_blood;TNF-NFkB;TNF_involves_NFkB-cJUN-AFT_
interleukin 2 receptor beta precursor [Homo sapiens]	Protein	IL2RB [Homo sapiens]	22	1	0.6134370012783977	IL2RB [Homo sapiens]	Gene	Jak-STAT signaling pathway [Homo sapiens];Cytokine-cytokine receptor interaction [Homo sapiens]
integrin-linked kinase [Homo sapiens]	Protein	ILK [Homo sapiens]	72	0	1.0559245911116533	ILK [Homo sapiens];EPHX2 [Homo sapiens];NUCB1 [Homo sapiens]	Gene;Gene;Gene	Focal adhesion [Homo sapiens];PPAR signaling pathway [Homo sapiens];Endometrial cancer [Homo sapiens];Tetrachloroethene degradation [Homo sapiens];Arachidonic acid metabolism [Homo sapiens];
inosine monophosphate dehydrogenase 2 [Homo sapiens]	Protein	IMPDH2 [Homo sapiens]	11	0	1.0136332758467292	IMPDH2 [Homo sapiens]	Gene	Purine metabolism [Homo sapiens];Drug metabolism - other enzymes [Homo sapiens]
insulin receptor [Homo sapiens]	Protein	INSR [Homo sapiens]	45	1	1.1745411402008668	INSR [Homo sapiens]	Gene	Type II diabetes mellitus [Homo sapiens];Dentatorubropallidoluysian atrophy (DRPLA) [Homo sapiens];Insulin signaling pathway [Homo sapiens];Adherens junction [Homo sapiens];Insulin-MAPK-PI3K-AKT_pathway_
interleukin-1 receptor-associated kinase 1 isoform 2 [Homo sapiens]	Protein	IRAK1 [Homo sapiens]	43	2	0.8339966345696087	IRAK1 [Homo sapiens]	Gene	Toll-like receptor signaling pathway [Homo sapiens];Apoptosis [Homo sapiens];IL1B-MAPK-MUC5AC_pathway_lung;cig-smoke_TLR4_NFkB_IL8_pathway_lung;elastase_NFkB_IL8_pathway_lung;IL1B-MAPK-MUC2-MUC5AC_pathway_lung;IL1B_MAPK_MUC2_MUC5AC_pathway_lung;IL1B_NFkB_TGFB1_pathway_lung;TLR2-NFkB_pathway_blood;TLR4-AP1_pathway_blood;TLR4-NFkB_pathway_blood;TNF_IL1B_NFkB_pathway_lung
insulin receptor substrate 1 [Homo sapiens]	Protein	IRS1 [Homo sapiens]	63	3	1.8043220377512235	IRS1 [Homo sapiens]	Gene	Type II diabetes mellitus [Homo sapiens];Insulin signaling pathway [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;IGF-1_PI3K_Akt;IGF1-MAPK_pathway_blood;IGF1_MAPK pathway;IL-6_atrophy;IL13_MUC5AC_pathway_lung;IL13_PI3K_AKT1_pathway_lung;Insulin-MAPK-PI3K-AKT_pathway_
integrin beta 1 isoform 1A precursor [Homo sapiens]	Protein	ITGB1 [Homo sapiens]	118	3	1.12030291344969	ITGB1 [Homo sapiens]	Gene	Focal adhesion [Homo sapiens];Axon guidance [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];ECM-receptor interaction [Homo sapiens];Cell adhesion molecules (CAMs) [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Small cell lung cancer [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens]
integrin beta 4 binding protein isoform a [Homo sapiens]	Protein	ITGB4BP [Homo sapiens]	81	2	0.9924250199391697	ITGB4BP [Homo sapiens]	Gene	
v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Protein	JUN [Homo sapiens]	104	1	1.1348258681431134	JUN [Homo sapiens];ATF3 [Homo sapiens]	Gene;Gene	Toll-like receptor signaling pathway [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];Colorectal cancer [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];GnRH signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Wnt signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];Renal cell carcinoma [Homo sapiens];ErbB signaling pathway [Homo sapiens];IGF1-MAPK_pathway_blood;IGF1_MAPK pathway;IL-6_signaling_pathway;IL1B_NFkB_TGFB1_pathway_lung;Insulin-MAPK-PI3K-AKT_pathway_;ROS_MAPKs_MMP1_pathway_lung;TLR4-AP1_pathway_blood;TNF-MAPK;TNF_involves_NFkB-cJUN-AFT_;
hypothetical protein LOC57562 [Homo sapiens]	Protein	KIAA1377 [Homo sapiens]	75	1	0.49470805136440466	KIAA1377 [Homo sapiens]	Gene	
keratin associated protein 4-12 [Homo sapiens]	Protein	KRTAP4-12 [Homo sapiens]	82	1	0.916234010490624	KRTAP4-12 [Homo sapiens]	Gene	
lymphocyte-specific protein tyrosine kinase [Homo sapiens]	Protein	LCK [Homo sapiens]	77	1	0.41037648006674265	LCK [Homo sapiens]	Gene	Natural killer cell mediated cytotoxicity [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];Primary immunodeficiency [Homo sapiens]
LIM and senescent cell antigen-like domains 1 [Homo sapiens]	Protein	LIMS1 [Homo sapiens]	34	0	1.1810624161383967	LIMS1 [Homo sapiens]	Gene	
LSM2 homolog, U6 small nuclear RNA associated [Homo sapiens]	Protein	LSM2 [Homo sapiens]	117	1	0.8084785439392369	LSM2 [Homo sapiens]	Gene	
v-yes-1 Yamaguchi sarcoma viral related oncogene homolog [Homo sapiens]	Protein	LYN [Homo sapiens]	72	2	0.5147560415542447	LYN [Homo sapiens]	Gene	Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];Fc epsilon RI signaling pathway [Homo sapiens];Long-term depression [Homo sapiens];B cell receptor signaling pathway [Homo sapiens]
